time	V(Vcc_led,Vi_led5)	V(Vi_led5,N001)	I(D6)
5.829210108030939e-06	0.000000e+00	4.959106e-05	2.162778e-09
5.830210108030938e-06	0.000000e+00	4.959106e-05	1.904482e-09
5.831210108030938e-06	0.000000e+00	4.959106e-05	2.104571e-09
5.832210108030938e-06	0.000000e+00	4.959106e-05	1.851731e-09
5.833210108030938e-06	0.000000e+00	4.959106e-05	2.048182e-09
5.834210108030939e-06	0.000000e+00	4.959106e-05	1.795343e-09
5.835210108030938e-06	0.000000e+00	4.959106e-05	1.988155e-09
5.836210108030939e-06	0.000000e+00	4.959106e-05	1.742592e-09
5.837210108030938e-06	0.000000e+00	5.340576e-05	1.935405e-09
5.838210108030938e-06	0.000000e+00	5.340576e-05	1.693479e-09
5.839210108030938e-06	0.000000e+00	5.340576e-05	1.882654e-09
5.840210108030938e-06	0.000000e+00	5.340576e-05	1.644366e-09
5.841210108030939e-06	0.000000e+00	5.340576e-05	1.831722e-09
5.842210108030938e-06	0.000000e+00	5.340576e-05	1.597073e-09
5.843210108030938e-06	0.000000e+00	5.340576e-05	1.780791e-09
5.844210108030938e-06	0.000000e+00	5.340576e-05	1.549779e-09
5.845210108030938e-06	0.000000e+00	5.340576e-05	1.733497e-09
5.846210108030939e-06	0.000000e+00	5.340576e-05	1.506123e-09
5.847210108030938e-06	0.000000e+00	5.340576e-05	1.684384e-09
5.848210108030939e-06	0.000000e+00	5.340576e-05	1.460648e-09
5.849210108030938e-06	0.000000e+00	5.340576e-05	1.638909e-09
5.850210108030938e-06	0.000000e+00	5.340576e-05	1.418812e-09
5.851210108030939e-06	0.000000e+00	5.340576e-05	1.595254e-09
5.852210108030938e-06	0.000000e+00	5.340576e-05	1.380613e-09
5.853210108030939e-06	0.000000e+00	5.340576e-05	1.553417e-09
5.854210108030938e-06	0.000000e+00	5.340576e-05	1.338776e-09
5.855210108030938e-06	0.000000e+00	5.340576e-05	1.509761e-09
5.856210108030938e-06	0.000000e+00	5.340576e-05	1.300577e-09
5.857210108030938e-06	0.000000e+00	5.340576e-05	1.469743e-09
5.858210108030939e-06	0.000000e+00	5.340576e-05	1.262379e-09
5.859210108030938e-06	0.000000e+00	5.340576e-05	1.427907e-09
5.860210108030939e-06	0.000000e+00	5.340576e-05	1.225999e-09
5.861210108030938e-06	0.000000e+00	5.340576e-05	1.391527e-09
5.862210108030938e-06	0.000000e+00	5.340576e-05	1.191438e-09
5.863210108030939e-06	0.000000e+00	5.340576e-05	1.355147e-09
5.864210108030938e-06	0.000000e+00	5.340576e-05	1.158696e-09
5.865210108030939e-06	0.000000e+00	5.340576e-05	1.316948e-09
5.866210108030938e-06	0.000000e+00	5.340576e-05	1.122316e-09
5.867210108030938e-06	0.000000e+00	5.340576e-05	1.280569e-09
5.868210108030939e-06	0.000000e+00	5.340576e-05	1.089575e-09
5.869210108030938e-06	0.000000e+00	5.340576e-05	1.246008e-09
5.870210108030939e-06	0.000000e+00	5.340576e-05	1.060471e-09
5.871210108030938e-06	0.000000e+00	5.340576e-05	1.215085e-09
5.872210108030938e-06	0.000000e+00	5.340576e-05	1.029548e-09
5.873210108030938e-06	0.000000e+00	5.340576e-05	1.182343e-09
5.874210108030938e-06	0.000000e+00	5.340576e-05	1.000444e-09
5.875210108030939e-06	0.000000e+00	5.340576e-05	1.149601e-09
5.876210108030938e-06	0.000000e+00	5.340576e-05	9.713403e-10
5.877210108030939e-06	0.000000e+00	5.340576e-05	1.120497e-09
5.878210108030938e-06	0.000000e+00	5.340576e-05	9.440555e-10
5.879210108030938e-06	0.000000e+00	5.340576e-05	1.089575e-09
5.880210108030939e-06	0.000000e+00	5.340576e-05	9.149517e-10
5.881210108030938e-06	0.000000e+00	5.340576e-05	1.058652e-09
5.882210108030939e-06	0.000000e+00	5.340576e-05	8.894858e-10
5.883210108030938e-06	0.000000e+00	5.340576e-05	1.033186e-09
5.884210108030938e-06	0.000000e+00	5.340576e-05	8.640200e-10
5.885210108030939e-06	0.000000e+00	5.340576e-05	1.004082e-09
5.886210108030938e-06	0.000000e+00	5.340576e-05	8.385541e-10
5.887210108030939e-06	0.000000e+00	5.340576e-05	9.767973e-10
5.888210108030938e-06	0.000000e+00	5.340576e-05	8.149073e-10
5.889210108030939e-06	0.000000e+00	5.340576e-05	9.531504e-10
5.890210108030938e-06	0.000000e+00	5.340576e-05	7.930794e-10
5.891210108030938e-06	0.000000e+00	5.340576e-05	9.276846e-10
5.892210108030939e-06	0.000000e+00	5.340576e-05	7.694325e-10
5.893210108030938e-06	0.000000e+00	5.340576e-05	9.022187e-10
5.894210108030939e-06	0.000000e+00	5.340576e-05	7.457857e-10
5.895210108030938e-06	0.000000e+00	5.340576e-05	8.767529e-10
5.896210108030938e-06	0.000000e+00	5.340576e-05	7.239578e-10
5.897210108030939e-06	0.000000e+00	5.340576e-05	8.549250e-10
5.898210108030938e-06	0.000000e+00	5.340576e-05	7.057679e-10
5.899210108030939e-06	0.000000e+00	5.340576e-05	8.330971e-10
5.900210108030938e-06	0.000000e+00	5.340576e-05	6.839400e-10
5.901210108030938e-06	0.000000e+00	5.340576e-05	8.112693e-10
5.902210108030939e-06	0.000000e+00	5.340576e-05	6.657501e-10
5.903210108030938e-06	0.000000e+00	5.340576e-05	7.912604e-10
5.904210108030939e-06	0.000000e+00	5.340576e-05	6.475602e-10
5.905210108030938e-06	0.000000e+00	5.340576e-05	7.694325e-10
5.906210108030939e-06	0.000000e+00	5.340576e-05	6.275513e-10
5.907210108030939e-06	0.000000e+00	5.340576e-05	7.494236e-10
5.908210108030938e-06	0.000000e+00	5.340576e-05	6.093615e-10
5.909210108030939e-06	0.000000e+00	5.340576e-05	7.294148e-10
5.910210108030938e-06	0.000000e+00	5.340576e-05	5.929905e-10
5.911210108030939e-06	0.000000e+00	5.340576e-05	7.112249e-10
